DocumentFieldName,TableColumnName,DelimitedColumnIndex,FwStartPosition,FwEndPosition,FieldLength,DiscardFlag,LookupType,LookupCategory,LookupInputColumn1,LookupInputColumn2,LookupInputColumn3,LookupInputColumn4,LookupOutputColumn,,,
ADMINISTRATION_DATE,Administration Date,,1,4,4,,,,,,,,,,,
GRADE_LEVEL_TESTED,Grade Level Tested,,5,6,2,,,,,,,,,,,
ESC_REGION_NUMBER,ESC Region Number,,7,8,2,,,,,,,,,,,
COUNTY_DISTRICT_CAMPUS_NUMBER,County District Campus Number,,9,17,9,,,,,,,,,,,
DISTRICT_NAME,District Name,,18,32,15,,,,,,,,,,,
CAMPUS_NAME,Campus Name,,33,47,15,,,,,,,,,,,
LAST_NAME,Last Name,,48,62,15,,,,,,,,,,,
FIRST_NAME,First Name,,63,72,10,,,,,,,,,,,
MIDDLE_INITIAL,Middle Initial,,73,73,1,,,,,,,,,,,
STUDENT_ID,Student ID,,74,82,9,,,,,,,,,,,
SEX_CODE,Sex Code,,83,83,1,,,,,,,,,,,
,Sex Code Desc,,,,6,,ExactCodeLookup,SexCode,Sex Code,,,,OutputValue1,,,
DATE_OF_BIRTH,Date Of Birth,,84,91,8,,,,,,,,,,,
BLANK,Blank,,92,92,1,Y,,,,,,,,,,
HISPANIC_LATINO_CODE,Hispanic Latino Code,,93,93,1,,,,,,,,,,,
AMERICAN_INDIAN_ALASKA_NATIVE_CODE,American Indian Alaska Native Code,,94,94,1,,,,,,,,,,,
ASIAN_CODE,Asian Code,,95,95,1,,,,,,,,,,,
BLACK_AFRICAN_AMERICAN_CODE,Black African American Code,,96,96,1,,,,,,,,,,,
NATIVE_HAWAIIAN_PACIFIC_ISLANDER_CODE,Native Hawaiian Pacific Islander Code,,97,97,1,,,,,,,,,,,
WHITE_CODE,White Code,,98,98,1,,,,,,,,,,,
ETHNICITY_RACE_REPORTING_CATEGORY,Ethnicity Race Reporting Category,,99,99,1,,,,,,,,,,,
,Ethnicity Race Reporting Category Desc,,,,41,,ExactCodeLookup,EthnicityRaceReportingCategory,Ethnicity Race Reporting Category,,,,OutputValue1,,,
ECONOMIC_DISADVANTAGE_CODE,Economic Disadvantage Code,,100,100,1,,,,,,,,,,,
,Economic Disadvantage Code Desc,,,,93,,ExactCodeLookup,EconomicDisadvantageCode,Economic Disadvantage Code,,,,OutputValue1,,,
TITLE_I_PART_A_INDICATOR_CODE,Title I Part Indicator Code,,101,101,1,,,,,,,,,,,
,Title I Part Indicator Code Desc,,,,118,,ExactCodeLookup,TitleIPartIndicatorCode,Title I Part Indicator Code,,,,OutputValue1,,,
MIGRANT_INDICATOR_CODE,Migrant Indicator Code,,102,102,1,,,,,,,,,,,
BLANK,Blank,,103,106,4,Y,,,,,,,,,,
LEP_INDICATOR_CODE,LEP Indicator Code,,107,107,1,,,,,,,,,,,
,LEP Indicator Code Desc,,,,149,,ExactCodeLookup,LEPIndicatorCode,LEP Indicator Code,,,,OutputValue1,,,
BILINGUAL_INDICATOR_CODE,Bilingual Indicator Code,,108,108,1,,,,,,,,,,,
,Bilingual Indicator Code Desc,,,,71,,ExactCodeLookup,BilingualIndicatorCode,Bilingual Indicator Code,,,,OutputValue1,,,
ESL_INDICATOR_CODE,ESL Indicator Code,,109,109,1,,,,,,,,,,,
,ESL Indicator Code Desc,,,,60,,ExactCodeLookup,ESLIndicatorCode,ESL Indicator Code,,,,OutputValue1,,,
BLANK,Blank,,110,110,1,Y,,,,,,,,,,
SPECIAL_ED_INDICATOR_CODE,Special ED Indicator Code,,111,111,1,,,,,,,,,,,
,Special ED Indicator Code Desc,,,,60,,ExactCodeLookup,SpecialEDIndicatorCode,Special ED Indicator Code,,,,OutputValue1,,,
BLANK,Blank,,112,116,5,Y,,,,,,,,,,
GIFTED_TALENTED_INDICATOR_CODE,Gifted Talented Indicator Code,,117,117,1,,,,,,,,,,,
AT_RISK_INDICATOR_CODE,At Risk Indicator Code,,118,118,1,,,,,,,,,,,
BLANK,Blank,,119,121,3,Y,,,,,,,,,,
CAREER_AND_TECHNICAL_ED_INDICATOR_CODE,Career and Technical ED Indicator Code,,122,122,1,,,,,,,,,,,
,Career and Technical ED Indicator Code Desc,,,,87,,ExactCodeLookup,CareerandTechnicalEDIndicatorCode,Career and Technical ED Indicator Code,,,,OutputValue1,,,
LOCAL_STUDENT_ID,Local Student ID,,123,131,9,,,,,,,,,,,
DOCUMENT_NUMBER,Document Number,,132,140,9,,,,,,,,,,,
ENROLLED_GRADE,Enrolled Grade,,141,142,2,,,,,,,,,,,
RECORD_UPDATE_INDICATOR,Record Update Indicator,,143,143,1,,,,,,,,,,,
,Record Update Indicator Desc,,,,281,,ExactCodeLookup,RecordUpdateIndicator,Record Update Indicator,,,,OutputValue1,,,
FALL_PREV_YR_TSDS_PEIMS_COUNTY_DISTRICT_CAMPUS_NUMBER,Fall Previous Year TSDS PEIMS County District Campus Number,,144,152,9,,,,,,,,,,,
FALL_PREV_YR_TSDS_PEIMS_CRISIS_CODE,Fall Previous Year TSDS PEIMS Crisis Code ,,153,154,2,,,,,,,,,,,
FALL_PREV_YR_TSDS_PEIMS_STUDENT_ATTRIBUTION_CODE,Fall Previous Year TSDS PEIMS Student Attribution Code,,155,156,2,,,,,,,,,,,
STUDENT_PORTAL_UNIQUE_ACCESS_CODE,Student Portal Unique Access Code,,157,162,6,,,,,,,,,,,
MIGRANT_STUDENT_IN_TEXAS_MIGRANT_INTERSTATE_PROGRAM,Migrant Student In Texas Migrant Interstate Program,,163,163,1,,,,,,,,,,,
FALL_PREV_YR_TSDS_PEIMS_MILITARY_CONNECTED_STUDENT_CODE,Fall Previous Year TSDS PEIMS Military Connected Student Code,,164,164,1,,,,,,,,,,,
BLANK,Blank,,165,189,25,Y,,,,,,,,,,
NEW_TO_TEXAS,New To Texas,,190,190,1,,,,,,,,,,,
